journal_nlm_id	delay_type	slope	slope_as_percent	p_value
0144731	Publication	 -17.39284	 -10.57395	 2.56e-61
0145600	Acceptance	   2.76604	   2.25655	1.21e-132
0145600	Publication	  -9.02646	 -16.51705	 0.00e+00
0147110	Acceptance	   1.36654	   1.64370	 3.30e-01
0147110	Publication	   0.55516	   1.04944	 2.69e-01
0147621	Acceptance	  -4.94586	  -3.02160	 4.09e-21
0147621	Publication	  -3.03564	  -7.71440	 4.47e-34
0147763	Acceptance	 -10.32565	  -5.29745	 7.86e-01
0147763	Publication	  27.56786	 103.97937	 5.25e-05
0150372	Acceptance	   4.43449	   1.92397	 3.03e-22
0150372	Publication	  -3.83450	  -9.94614	1.37e-217
0150472	Acceptance	  -1.98438	  -1.65808	 9.00e-03
0150472	Publication	   0.05742	   0.06208	 9.10e-01
0150760	Acceptance	  -1.69065	  -1.45508	 8.63e-03
0150760	Publication	  -1.78662	  -1.67343	 1.29e-03
0151000	Acceptance	 -14.34107	 -11.35661	3.48e-140
0151000	Publication	  -8.26416	 -18.79454	1.32e-161
0151115	Acceptance	  -2.48489	  -2.16751	 6.56e-01
0151115	Publication	  -4.14820	 -10.10293	 2.40e-03
0151434	Acceptance	   5.92352	   4.07455	 9.14e-24
0151434	Publication	  -2.93639	  -7.50569	3.45e-162
0151504	Acceptance	  -4.92001	  -3.21826	 4.62e-24
0151504	Publication	  -3.18701	 -21.75307	1.19e-272
0151620	Acceptance	   0.24992	   0.25393	 8.16e-01
0151620	Publication	  -4.30227	  -3.08451	 1.81e-03
0152016	Acceptance	  -1.95869	  -2.51255	 2.79e-05
0152016	Publication	  -2.38777	  -3.06246	 5.77e-09
0153605	Acceptance	 -28.55552	 -30.99758	 4.44e-06
0153605	Publication	 -13.80961	 -13.92707	 1.47e-03
0154720	Acceptance	  -1.69875	  -2.39331	 1.16e-10
0154720	Publication	  -4.35519	 -10.80417	1.26e-183
0155157	Acceptance	   0.96679	   1.77006	 1.02e-16
0155157	Publication	  -0.08199	  -0.70583	 2.03e-03
0157375	Acceptance	  -7.57185	  -4.40984	 2.26e-42
0157375	Publication	  -6.10744	 -15.59853	 0.00e+00
0164074	Acceptance	   5.43946	   3.23020	 4.96e-02
0164074	Publication	  -0.38398	  -0.72096	 8.26e-01
0165035	Acceptance	   0.04314	   0.03766	 9.59e-01
0165035	Publication	  -3.71079	 -22.28053	 1.70e-68
0165053	Acceptance	  43.46357	  22.20031	 2.67e-02
0165053	Publication	   6.62686	  11.55887	 1.04e-02
0173320	Acceptance	   4.03171	   1.94891	 4.82e-01
0173320	Publication	   4.43028	   5.46024	 3.38e-02
0174752	Acceptance	   2.33235	   1.53620	 9.75e-02
0174752	Publication	  -3.25230	  -3.95607	 1.65e-05
0174763	Acceptance	   1.78989	   0.67294	 5.54e-01
0174763	Publication	 -19.98514	 -14.27653	 4.43e-04
0177625	Acceptance	   0.26171	   0.27536	 7.08e-01
0177625	Publication	 -12.07489	  -5.23977	 5.28e-19
0200525	Acceptance	   2.23275	   1.75248	 5.43e-02
0200525	Publication	  -1.98651	  -1.87510	 1.38e-01
0201010	Acceptance	  49.36814	  22.27648	 2.25e-19
0201010	Publication	 -13.66900	 -10.98895	 5.84e-05
0203727	Acceptance	 -15.40954	  -8.34461	 3.78e-04
0203727	Publication	 -11.18558	 -25.87778	 2.67e-04
0204522	Acceptance	   3.11683	   2.14033	 5.56e-01
0204522	Publication	   6.87773	  16.14516	 8.62e-07
0204634	Acceptance	   3.41704	   3.49346	 2.01e-02
0204634	Publication	  -4.50438	  -6.85445	 3.10e-05
0207224	Acceptance	 -36.99582	 -28.77968	 9.86e-02
0207224	Publication	  -2.38664	 -25.56138	 3.29e-01
0207277	Acceptance	  -2.85222	  -3.90666	1.17e-115
0207277	Publication	 -10.06544	 -15.87571	 0.00e+00
0210174	Acceptance	   9.69660	   7.81284	2.08e-195
0210174	Publication	  -7.17812	 -16.80357	 0.00e+00
0210453	Acceptance	   9.40158	   5.08688	 2.87e-04
0210453	Publication	 -10.27397	 -10.48216	 3.96e-11
0211301	Acceptance	  -0.20271	  -0.18876	 7.85e-01
0211301	Publication	  -7.35776	 -21.39305	 4.07e-69
0213264	Acceptance	  -3.71142	  -2.70114	 1.40e-21
0213264	Publication	  -8.39563	 -13.13849	 0.00e+00
0214055	Acceptance	  -8.13926	  -4.08855	 1.22e-01
0214055	Publication	  -1.66487	  -2.49619	 1.48e-01
0214745	Acceptance	   2.14362	   1.63310	 2.87e-05
0214745	Publication	  -6.50219	 -15.72060	 8.89e-75
0217410	Acceptance	  -8.99497	  -9.34204	 1.17e-01
0217410	Publication	 -42.04755	-124.43980	 1.74e-26
0217513	Acceptance	  -1.21462	  -1.14437	 1.56e-21
0217513	Publication	  -1.22965	 -10.47677	 0.00e+00
0217764	Acceptance	   0.53444	   0.42623	 3.11e-01
0217764	Publication	  -3.27717	 -18.14616	1.76e-132
0222643	Acceptance	 -12.16161	 -12.27016	 4.21e-25
0222643	Publication	   1.46169	   3.74454	 6.34e-03
0226040	Acceptance	  -3.74826	  -3.01629	 6.92e-14
0226040	Publication	 -12.54023	 -24.08750	 0.00e+00
0227276	Acceptance	   3.95402	   3.83413	 1.15e-23
0227276	Publication	  -0.79362	  -6.71090	 5.11e-28
0234361	Acceptance	   2.54725	   2.23507	 3.50e-05
0234361	Publication	  -7.67009	 -15.89278	1.21e-207
0235266	Acceptance	   6.91532	   9.26149	 5.72e-01
0235266	Publication	   7.34303	  20.54567	 4.59e-02
0236217	Acceptance	  -0.69764	  -0.55521	 6.49e-02
0236217	Publication	  -3.14684	 -16.07580	2.27e-213
0241111	Acceptance	  -2.92832	  -0.88789	 4.86e-01
0241111	Publication	  -7.65344	 -12.66526	 6.82e-08
0241212	Acceptance	   5.02473	   3.19892	 1.16e-04
0242543	Acceptance	  -4.11929	  -3.10187	 4.16e-35
0242543	Publication	  -4.19388	 -18.25236	 0.00e+00
0242726	Acceptance	 -50.34924	 -20.55091	 2.37e-51
0243532	Acceptance	 -13.09310	 -11.66812	 1.66e-69
0243532	Publication	  -9.14838	  -5.81703	 1.77e-01
0243704	Acceptance	 -13.74821	  -9.23325	 3.13e-02
0243704	Publication	 -35.59369	 -11.67943	 2.03e-03
0243705	Acceptance	 -20.08698	 -16.41634	 2.45e-01
0243705	Publication	  10.47615	  71.55685	 5.77e-08
0245075	Acceptance	 -16.05782	  -6.84432	 3.82e-21
0245075	Publication	  -4.78181	 -24.89623	 4.32e-20
0245331	Acceptance	   5.75485	   3.95364	 1.74e-01
0245331	Publication	   0.36661	   1.04697	 4.98e-01
0246127	Acceptance	 -14.33760	 -19.38092	 2.47e-01
0246127	Publication	  -1.81919	 -21.54575	 5.73e-02
0247035	Acceptance	   2.88617	   3.96406	 1.39e-01
0247035	Publication	 -12.66736	 -45.09834	 4.71e-23
0247551	Acceptance	 -26.76762	 -17.09364	 2.57e-05
0247551	Publication	   8.22035	   8.13239	 3.05e-02
0251711	Acceptance	   2.73665	   1.35676	 1.00e-01
0251711	Publication	  -6.46063	 -18.10712	 2.66e-34
0253664	Acceptance	   4.87723	   7.43892	 4.03e-03
0253664	Publication	   1.96096	   4.84932	 1.91e-01
0256422	Acceptance	  -0.49058	  -0.23284	 7.68e-01
0256422	Publication	  -2.98530	 -14.29662	 2.45e-17
0260231	Acceptance	   0.11089	   0.08915	 8.13e-01
0260231	Publication	  -3.66223	 -11.03274	4.12e-231
0260316	Acceptance	   3.67368	   1.48869	 3.20e-02
0260316	Publication	  -3.15718	 -14.23380	 3.41e-22
0261412	Acceptance	  -3.98145	  -1.06400	 2.62e-02
0261412	Publication	  -7.39119	 -15.12566	 8.74e-76
0262321	Acceptance	  -5.31794	  -3.11631	 3.31e-01
0262321	Publication	  -8.89201	 -16.21418	 3.10e-04
0262322	Acceptance	   0.47059	   0.44862	 2.47e-01
0262322	Publication	  -3.73885	 -21.54369	9.47e-207
0262521	Acceptance	  -4.02413	  -4.15984	 8.85e-09
0262521	Publication	 -11.69803	 -26.21745	4.62e-142
0265365	Acceptance	  10.34121	  11.84566	 1.91e-18
0265365	Publication	  -0.69301	  -0.90028	 3.25e-01
0266262	Acceptance	   1.35712	   1.58055	 8.03e-01
0266262	Publication	   9.38108	  21.28838	 4.73e-06
0267200	Acceptance	  -7.00934	  -6.71407	 2.08e-49
0267200	Publication	 -27.80433	 -41.89329	5.38e-148
0267442	Acceptance	  -4.04779	  -2.77307	 2.16e-04
0267442	Publication	  -8.71784	  -5.84122	 2.92e-13
0311416	Acceptance	   1.55453	   0.95161	 2.15e-01
0311416	Publication	  -9.41556	 -11.67888	 2.38e-23
0312676	Acceptance	   2.72955	   2.13824	 3.78e-01
0312676	Publication	   0.14861	   0.45642	 9.39e-01
0313225	Acceptance	  39.17779	  45.33145	 2.42e-02
0313225	Publication	  27.02782	  75.44028	 6.83e-05
0314024	Acceptance	   0.26420	   0.37414	 2.73e-01
0314024	Publication	   1.35013	   4.05018	 2.27e-22
0314524	Acceptance	   4.20300	   4.65813	 1.58e-02
0314524	Publication	  -4.61725	 -17.89631	 3.63e-11
0315061	Acceptance	 -11.07246	 -11.92740	 1.82e-01
0315061	Publication	   0.58438	   6.29699	 6.17e-01
0320626	Publication	   2.38435	   6.68892	 3.93e-01
0320657	Acceptance	  -5.41819	  -3.65549	5.86e-143
0320657	Publication	  -3.97189	  -9.12863	 0.00e+00
0322116	Acceptance	  -9.49822	  -6.12573	 4.61e-73
0322116	Publication	  -3.01179	 -18.88562	3.31e-158
0322206	Acceptance	  -6.14276	  -4.22492	 3.45e-06
0322206	Publication	  -1.96499	  -3.45896	 2.21e-04
0323470	Acceptance	  -7.37268	  -4.46257	 1.07e-01
0323470	Publication	  -2.66545	  -3.60827	 8.47e-02
0323767	Acceptance	   7.94627	   8.56077	 5.76e-02
0324055	Publication	   7.43192	  60.10700	 4.95e-01
0326264	Acceptance	  -1.25450	  -1.15241	 6.46e-03
0326264	Publication	  -3.77529	 -10.07312	1.37e-154
